sheet,of,part_id,stl
1,25,EEG-CAR-01,EEG-CAR-01_RevB_board_outline.stl
2,25,FIT-01,FIT-01_fit_test_coupon.stl
3,25,HM-01,HM-01_frame_monocoque.stl
4,25,HM-02B,HM-02B_occiput_pad.stl
5,25,HM-02C,HM-02C_crown_pad.stl
6,25,HM-02A,HM-02_brow_pad.stl
7,25,HM-03A,HM-03A_occipital_yoke.stl
8,25,HM-04,HM-04_electrode_assembly_body.stl
9,25,HM-05B,HM-05B_cup_bayonet_carrier.stl
10,25,HM-08,HM-08_battery_hatch.stl
11,25,HM-09,HM-09_service_key.stl
12,25,HM-10,HM-10_keyed_cell_carrier.stl
13,25,HM-11A,HM-11A_channel_cover_halo.stl
14,25,HM-11B,HM-11B_channel_cover_sagittal.stl
15,25,HM-11C,HM-11C_channel_cover_coronal.stl
16,25,MP-01,MP-01_module_plate.stl
17,25,POD-P1-04,POD-P1-04_harness_p_clip.stl
18,25,POD-P1-01,POD-P1_prototype_enclosure_base.stl
19,25,POD-P1-02,POD-P1_prototype_enclosure_lid.stl
20,25,WH-ADP-02,WH-ADP-02_room_microphone_carrier.stl
21,25,WH-ADP-03,WH-ADP-03_charge_usb_c_plate.stl
22,25,WH-ADP-04,WH-ADP-04_host_usb_c_plate.stl
23,25,WH-KEY-01,WH-KEY-01_shroud_J14.stl
24,25,WH-KEY-01,WH-KEY-01_shroud_J22.stl
25,25,WH-KEY-01,WH-KEY-01_shroud_J30.stl
